THICKNESS,FACIES,LITHOLOGY,GROUP,FORMATION
4.4,vfscb,Sandstone,Oronto,Freda
0.6,vfs,Siltstone,Oronto,Freda
7.8,fncb,Sandstone,Oronto,Freda
0.2,vfs,Sandstone,Oronto,Freda
0.3,silt,Siltstone,Oronto,Freda
1.3,fn,Sandstone,Oronto,Freda
0.4,silt,Siltstone,Oronto,Freda
1.3,fncb,Sandstone,Oronto,Freda
0.5,silt,Siltstone,Oronto,Freda
0.6,vfscb,Sandstone,Oronto,Freda
0.4,silt,Siltstone,Oronto,Freda
1,vfs,Sandstone,Oronto,Freda
0.8,vfs,Siltstone,Oronto,Freda
0.6,vfs,Sandstone,Oronto,Freda
0.5,silt,Siltstone,Oronto,Freda